201.87.79.0/24,BR,BR-SP,Ourinhos, 
187.10.174.0/24,BR,BR-SP,São Paulo, 
177.197.212.0/24,BR,BR-SP,São Paulo, 
187.101.74.0/24,BR,BR-SP,Campo Limpo Paulista, 
179.146.20.0/24,BR,BR-SP,São Paulo, 
191.8.86.0/24,BR,BR-SP,São Paulo, 
177.102.248.0/24,BR,BR-SP,Itapecerica Da Serra, 
179.247.242.0/24,BR,BR-SP,São Paulo, 
177.197.75.0/24,BR,BR-SP,Santo André, 
187.11.70.0/24,BR,BR-SP,Bertioga, 
189.110.39.0/24,BR,BR-SP,São Paulo, 
179.145.28.0/24,BR,BR-SP,Santos, 
179.160.33.0/24,BR,BR-SP,Jales, 
177.138.234.0/24,BR,BR-SP,Carapicuíba, 
191.254.182.0/24,BR,BR-SP,Mauá, 
179.225.237.0/24,BR,BR-SP,São Paulo, 
179.225.199.0/24,BR,BR-SP,São Roque, 
191.23.114.0/24,BR,BR-SP,São Paulo, 
177.18.44.0/24,BR,BR-SP,São Paulo, 
179.226.163.0/24,BR,BR-SP,Botucatu, 
179.146.22.0/24,BR,BR-SP,São Bernardo Do Campo, 
179.110.54.0/24,BR,BR-SP,São Paulo, 
177.103.74.0/24,BR,BR-SP,Campinas, 
179.94.20.0/24,BR,BR-SP,Santo André, 
191.8.81.0/24,BR,BR-SP,São Paulo, 
177.118.177.0/24,BR,BR-SP,São Paulo, 
177.198.102.0/24,BR,BR-SP,Poá, 
187.10.236.0/24,BR,BR-SP,São Paulo, 
201.95.43.0/24,BR,BR-SP,São Paulo, 
201.26.2.0/24,BR,BR-SP,Jacareí, 
200.185.233.0/24,BR,BR-SP,Piracicaba, 
177.138.84.0/24,BR,BR-SP,Itapetininga, 
177.68.104.0/24,BR,BR-SP,São Paulo, 
177.161.142.0/24,BR,BR-SP,São Paulo, 
189.46.28.0/24,BR,BR-SP,São Paulo, 
187.91.211.0/24,BR,BR-SP,Franca, 
187.58.233.0/24,BR,BR-SP,Sertãozinho, 
191.255.137.0/24,BR,BR-SP,Santo André, 
187.121.22.0/24,BR,BR-SP,São Paulo, 
187.56.29.0/24,BR,BR-SP,Campinas, 
189.79.88.0/24,BR,BR-SP,São José Do Rio Preto, 
177.189.201.0/24,BR,BR-SP,Itu, 
191.254.172.0/24,BR,BR-SP,São Paulo, 
152.249.148.0/24,BR,BR-SP,Embu Das Artes, 
177.45.157.0/24,BR,BR-SP,Bertioga, 
191.205.182.0/24,BR,BR-SP,Praia Grande, 
179.146.18.0/24,BR,BR-SP,São Paulo, 
152.250.148.0/24,BR,BR-SP,São Paulo, 
179.94.107.0/24,BR,BR-SP,Itu, 
